tool	covered_n	coverage_fraction	exact_final_concordance	broad_final_concordance	top_supported_labels	top_disagreements
CellTypist	57419	1.0	0.6719726919660739	0.9223601943607517	CD4 Naive / T Central Memory: 22,002; CD8 Cytotoxic / T Effector Memory: 9,707; NK Cell: 8,926; CD4 T Effector Memory: 6,259; Blood Cell: 2,153	CD4 Naive / T Central Memory vs CD4 T Effector Memory: 5,762; Memory B Cell vs B Cell: 1,502; NK Cell vs CD8 Cytotoxic / T Effector Memory: 1,475; CD4 Naive / T Central Memory vs Blood Cell: 1,048; CD4 Naive / T Central Memory vs CD8 Cytotoxic / T Effector Memory: 798
Azimuth PBMC L2	57419	1.0	0.5971020045629496	0.9442693185182605	CD4 Naive / T Central Memory: 20,411; T Cell: 11,447; NK Cell: 9,324; CD8 Cytotoxic / T Effector Memory: 8,211; B Cell: 2,368	CD4 Naive / T Central Memory vs T Cell: 10,401; Memory B Cell vs B Cell: 1,851; NK Cell vs CD8 Cytotoxic / T Effector Memory: 1,430; CD8 Cytotoxic / T Effector Memory vs T Cell: 872; CD8 Cytotoxic / T Effector Memory vs CD4 Naive / T Central Memory: 814
Azimuth PBMC L3	57419	1.0	0.09904387049582891	0.15395600759330536	Blood Cell: 48,850; CD4 Naive / T Central Memory: 4,203; MAIT Cell: 1,596; RBC: 749; CD8 Naive / T Central Memory: 656	CD4 Naive / T Central Memory vs Blood Cell: 24,697; NK Cell vs Blood Cell: 10,158; CD8 Cytotoxic / T Effector Memory vs Blood Cell: 8,411; Memory B Cell vs Blood Cell: 2,714; Doublet vs Blood Cell: 1,329
Pan-human Azimuth fine	57419	1.0	0.43243525662237237	0.7569271495498006	Blood Cell: 13,263; CD4 Naive / T Central Memory: 10,554; NK Cell: 6,730; CD4 T Cell (ab): 6,257; CD8 Cytotoxic / T Effector Memory: 5,409	CD4 Naive / T Central Memory vs Blood Cell: 5,766; CD4 Naive / T Central Memory vs CD4 T Cell (ab): 5,381; CD4 Naive / T Central Memory vs Treg: 4,267; CD4 Naive / T Central Memory vs CD4 T Effector Memory: 3,980; NK Cell vs Blood Cell: 3,389
Pan-human Azimuth medium	57419	1.0	0.11405632281997248	0.8075724063463313	T Cell: 36,741; Blood Cell: 10,254; NK Cell: 6,731; B Cell: 3,670; Monocyte: 14	CD4 Naive / T Central Memory vs T Cell: 25,221; CD8 Cytotoxic / T Effector Memory vs T Cell: 6,881; CD4 Naive / T Central Memory vs Blood Cell: 4,620; Memory B Cell vs B Cell: 2,916; CD8 Cytotoxic / T Effector Memory vs Blood Cell: 2,221
Cluster consensus	57419	1.0	0.8614047614900991	0.9496856441247671	CD4 Naive / T Central Memory: 29,353; NK Cell: 10,608; CD8 Cytotoxic / T Effector Memory: 9,819; B Cell: 3,826; Blood Cell: 1,548	Memory B Cell vs B Cell: 2,885; CD4 Naive / T Central Memory vs Blood Cell: 999; Naive B Cell vs B Cell: 603; Doublet vs CD4 Naive / T Central Memory: 505; NK Cell vs CD8 Cytotoxic / T Effector Memory: 419
Marker score	57419	1.0	0.1747505181211794	0.8583744056845295	CD4 T Cell (ab): 21,811; NK Cell: 14,769; T Cell: 8,430; CD8 T Cell (ab): 4,210; DC: 2,628	CD4 Naive / T Central Memory vs CD4 T Cell (ab): 18,974; CD4 Naive / T Central Memory vs T Cell: 6,189; CD8 Cytotoxic / T Effector Memory vs NK Cell: 3,387; CD8 Cytotoxic / T Effector Memory vs CD8 T Cell (ab): 2,940; Memory B Cell vs DC: 1,759
screfmap scoped	32412	0.5644821400581689	0.7927310872516352	0.9726335924966062	CD4 Naive / T Central Memory: 24,886; CD4 T Effector Memory: 2,831; Naive B Cell: 2,121; Memory B Cell: 1,413; Treg: 900	CD4 Naive / T Central Memory vs CD4 T Effector Memory: 1,581; Memory B Cell vs Naive B Cell: 1,435; CD8 Cytotoxic / T Effector Memory vs CD4 T Effector Memory: 1,009; CD4 Naive / T Central Memory vs Treg: 820; CD8 Naive / T Central Memory vs CD4 Naive / T Central Memory: 432
